ctr_mean,ctr_std,n_ctrs,EMD_CD
151.1904761904762,69.58636292235646,21,26230104
33.333333333333336,14.433756729740644,3,26230105
75.0,27.95084971874737,9,26230106
294.33962264150944,169.46192485858865,53,26230107
310.8333333333333,186.35377614917675,30,26230108
301.47058823529414,173.19864848204543,34,26230109
241.1290322580645,129.51003614533352,31,26230110
256.25,131.03997237093103,40,26230111
91.66666666666667,37.36085295243316,21,26260101
37.5,32.274861218395145,4,26260102
75.0,37.26779962499649,10,26260103
0.0,0.0,1,26260104
78.57142857142857,33.62963545672746,7,26260105
0.0,0.0,1,26260106
79.54545454545455,26.967994498529684,11,26260107
251.66666666666666,144.57627347035444,30,26260108
201.38888888888889,114.55547789756659,18,26260109
167.0,115.44501297331195,50,26290106
90.2439024390244,53.29107828136191,41,26290107
