,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,predicted
218,26230107,Choeup-dong,초읍동,40.994254414193904
219,26230108,Buam-dong,부암동,39.01978864812708
220,26230109,Danggam-dong,당감동,30.43232971956324
221,26230110,Gaya-dong,가야동,47.63121055739704
222,26230111,Gaegeum-dong,개금동,40.743903144414105
223,26260101,Myeongjang-dong,명장동,19.352882995766333
224,26260102,Allak-dong,안락동,25.128122387424558
225,26260103,Chilsan-dong,칠산동,18.292987818619597
226,26260105,Bokcheon-dong,복천동,21.328068995364777
227,26260107,Myeongnyun-dong,명륜동,18.38913646258094
228,26260108,Oncheon-dong,온천동,35.53829697852207
229,26260109,Sajik-dong,사직동,23.501236536996803
230,26290106,Daeyeon-dong,대연동,22.084613214348348
231,26290107,Yongho-dong,용호동,16.699404903494763
232,26290108,Yongdang-dong,용당동,20.882020238300505
233,26290109,Munhyeon-dong,문현동,30.05978653339166
234,26290110,Uam-dong,우암동,19.07554562863039
235,26290111,Gamman-dong,감만동,18.394892239344916
236,26320101,Geumgok-dong,금곡동,37.20874678683083
237,26320102,Hwamyeong-dong,화명동,44.68393943037861
238,26320103,Mandeok-dong,만덕동,70.94631969071223
239,26320104,Deokcheon-dong,덕천동,25.848665062842706
240,26320105,Gupo-dong,구포동,51.0769703572722
241,26350101,Bansong-dong,반송동,73.74175687526505
242,26350102,Seokdae-dong,석대동,22.202131039323582
243,26350103,Banyeo-dong,반여동,49.762809668241324
244,26350104,Jaesong-dong,재송동,32.52826280403357
245,26350105,U-dong,우동,53.19637931792133
246,26350106,Jung-dong,중동,21.526212870803025
247,26350107,Jwa-dong,좌동,66.50838578558665
248,26350108,Songjeong-dong,송정동,59.210899123382575
249,26380101,Goejeong-dong,괴정동,29.571684820413157
250,26380102,Dangni-dong,당리동,29.783087936371803
251,26380103,Hadan-dong,하단동,22.109928620887406
252,26380104,Sinpyeong-dong,신평동,19.591492906554798
253,26380105,Jangnim-dong,장림동,16.95052486783375
254,26380106,Dadae-dong,다대동,24.44118206178178
255,26380107,Gupyeong-dong,구평동,59.42141087498002
256,26380108,Gamcheon-dong,감천동,64.60533960127906
257,26410101,Dugu-dong,두구동,83.10669065669455
258,26410102,Nopo-dong,노포동,56.183299650523956
259,26410103,Cheongnyong-dong,청룡동,40.73935432485212
260,26410104,Namsan-dong,남산동,70.31378927463199
261,26410105,Seon-dong,선동,52.85147541205393
262,26410106,Oryun-dong,오륜동,71.07765557628827
263,26410107,Guseo-dong,구서동,42.834896457595725
